ImageId,ships,has_ship,has_ship_vec
a313814a8.jpg,1,1.0,[1.0]
3fdaebe7b.jpg,1,1.0,[1.0]
78aef976f.jpg,1,1.0,[1.0]
c3604ad9c.jpg,1,1.0,[1.0]
01a1e6260.jpg,1,1.0,[1.0]
355d3e194.jpg,1,1.0,[1.0]
46acc6642.jpg,1,1.0,[1.0]
f08223c1a.jpg,1,1.0,[1.0]
045029812.jpg,1,1.0,[1.0]
15ad76fce.jpg,1,1.0,[1.0]
b1bc19c14.jpg,1,1.0,[1.0]
37c513d2d.jpg,1,1.0,[1.0]
23e2e02e4.jpg,1,1.0,[1.0]
d7b912f4e.jpg,1,1.0,[1.0]
f9121ef1b.jpg,1,1.0,[1.0]
925c92357.jpg,1,1.0,[1.0]
2e7b0914f.jpg,1,1.0,[1.0]
281b55a8b.jpg,1,1.0,[1.0]
a1da61228.jpg,1,1.0,[1.0]
b9eb4730f.jpg,1,1.0,[1.0]
5eb32aabb.jpg,1,1.0,[1.0]
0c13bb7f7.jpg,1,1.0,[1.0]
d8d74f909.jpg,1,1.0,[1.0]
694ad8ef5.jpg,1,1.0,[1.0]
bf58c5475.jpg,1,1.0,[1.0]
36e696210.jpg,1,1.0,[1.0]
34d4e1535.jpg,1,1.0,[1.0]
77b066d92.jpg,1,1.0,[1.0]
f9a6f2c77.jpg,1,1.0,[1.0]
569904415.jpg,1,1.0,[1.0]
d6844d2d9.jpg,1,1.0,[1.0]
87374134b.jpg,1,1.0,[1.0]
29abf9830.jpg,1,1.0,[1.0]
a58002717.jpg,1,1.0,[1.0]
d1950c15f.jpg,1,1.0,[1.0]
14a17325d.jpg,1,1.0,[1.0]
de6b710c8.jpg,1,1.0,[1.0]
867d5f3cb.jpg,1,1.0,[1.0]
5cea020b0.jpg,1,1.0,[1.0]
b491be2fe.jpg,1,1.0,[1.0]
ef57d4284.jpg,1,1.0,[1.0]
9eb29b805.jpg,1,1.0,[1.0]
60808e28b.jpg,1,1.0,[1.0]
298dc3d1b.jpg,1,1.0,[1.0]
c5e525fea.jpg,1,1.0,[1.0]
53c8df60b.jpg,1,1.0,[1.0]
7e970c67c.jpg,1,1.0,[1.0]
32a254a2d.jpg,1,1.0,[1.0]
71cd4d754.jpg,1,1.0,[1.0]
dd1e446fe.jpg,1,1.0,[1.0]
5b4ad2081.jpg,1,1.0,[1.0]
bf7219115.jpg,1,1.0,[1.0]
d01c1cdb6.jpg,1,1.0,[1.0]
b6ed89bef.jpg,1,1.0,[1.0]
ff87d83de.jpg,1,1.0,[1.0]
1826b9dd7.jpg,1,1.0,[1.0]
5287b7dd9.jpg,1,1.0,[1.0]
b3c3bdfb0.jpg,1,1.0,[1.0]
eeddae776.jpg,1,1.0,[1.0]
0a430f5f4.jpg,1,1.0,[1.0]
bf3c8733c.jpg,1,1.0,[1.0]
8689b2014.jpg,1,1.0,[1.0]
671b04ede.jpg,1,1.0,[1.0]
9184e94ad.jpg,1,1.0,[1.0]
c2a37e96a.jpg,1,1.0,[1.0]
beb8ba88f.jpg,1,1.0,[1.0]
efa06dadb.jpg,1,1.0,[1.0]
3cd1684e3.jpg,1,1.0,[1.0]
53951676d.jpg,1,1.0,[1.0]
6aed06a66.jpg,1,1.0,[1.0]
52448d074.jpg,1,1.0,[1.0]
983358566.jpg,1,1.0,[1.0]
307320210.jpg,1,1.0,[1.0]
a39601e50.jpg,1,1.0,[1.0]
1aaefeee7.jpg,1,1.0,[1.0]
